‡T,‡U,‡V,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-18,-14,4,16,-11,-5,-4,-21,-10,-12,-14,-13,
-18,-17,1,18,-9,-8,-4,-21,-10,-13,-16,-14,
-18,-19,-1,19,-8,-10,-4,-22,-11,-14,-16,-14,
-18,-19,-1,19,-8,-10,-4,-21,-11,-14,-16,-14,
-16,-19,-3,18,-6,-11,-3,-21,-11,-15,-16,-14,
-17,-19,-2,18,-7,-10,-3,-21,-13,-16,-17,-14,
-17,-19,-2,18,-7,-10,-3,-21,-13,-16,-18,-15,
-18,-20,-2,19,-8,-11,-3,-22,-13,-16,-18,-15,
-19,-21,-2,20,-8,-11,-3,-22,-13,-17,-19,-15,
-19,-21,-2,20,-8,-11,-3,-21,-13,-17,-19,-15,
-19,-22,-3,21,-8,-12,-3,-20,-12,-16,-20,-15,
-19,-23,-4,21,-7,-13,-3,-20,-13,-16,-20,-16,
-19,-23,-4,21,-7,-13,-2,-20,-13,-16,-20,-16,
-19,-24,-5,22,-7,-14,-2,-22,-14,-17,-21,-17,
-21,-25,-4,23,-8,-14,-2,-22,-14,-17,-21,-16,
-21,-25,-4,23,-8,-14,-1,-21,-14,-17,-21,-16,
-20,-25,-5,23,-7,-15,0,-21,-14,-18,-22,-16,
-20,-25,-5,23,-7,-15,1,-21,-14,-19,-23,-16,
-20,-25,-5,23,-7,-15,1,-20,-13,-19,-22,-16,
-20,-25,-5,23,-7,-15,0,-20,-14,-19,-23,-16,
-20,-25,-5,23,-7,-15,1,-20,-13,-18,-23,-16,
-20,-25,-5,23,-7,-15,1,-20,-13,-18,-23,-16,
-21,-26,-5,24,-8,-15,1,-20,-14,-18,-23,-16,
-21,-26,-5,24,-8,-15,1,-19,-14,-19,-23,-16,
-20,-26,-6,23,-7,-16,0,-20,-14,-19,-24,-16,
-20,-26,-6,23,-7,-16,0,-20,-14,-19,-23,-16,
-20,-27,-7,24,-6,-17,1,-19,-14,-19,-23,-16,
-20,-27,-7,24,-6,-17,1,-19,-14,-19,-23,-16,
-19,-27,-8,23,-5,-17,2,-18,-14,-19,-24,-16,
-19,-28,-9,24,-5,-18,2,-16,-13,-19,-24,-18,
-18,-29,-11,24,-3,-20,4,-14,-10,-17,-25,-18,
-17,-30,-13,24,-2,-21,6,-11,-5,-15,-25,-19,
-15,-31,-16,23,1,-23,9,-7,0,-12,-26,-19,
-15,-30,-15,23,0,-22,11,-1,8,-5,-24,-19,
-13,-26,-13,20,0,-19,13,7,22,6,-19,-17,
-10,-20,-10,15,0,-15,15,16,38,23,-11,-12,
-4,-11,-7,8,2,-9,15,20,51,39,-1,-4,
0,1,1,0,0,1,14,18,59,56,15,7,
4,16,12,-10,-4,14,10,8,56,70,37,24,
8,35,27,-21,-9,31,0,-16,39,80,65,48,
15,58,43,-36,-14,51,-18,-50,19,95,103,81,
22,86,64,-54,-21,75,-36,-84,2,114,147,119,
27,115,88,-71,-30,102,-54,-115,-14,133,189,155,
29,139,110,-84,-40,125,-72,-144,-33,148,226,189,
31,157,126,-94,-47,142,-98,-177,-57,158,258,219,
32,172,140,-102,-54,156,-125,-213,-85,164,286,243,
30,187,157,-108,-63,172,-153,-249,-117,164,307,264,
28,196,168,-112,-70,182,-177,-282,-149,157,321,279,
25,198,173,-111,-74,186,-195,-303,-178,143,324,284,
23,187,164,-105,-70,176,-202,-313,-201,119,312,277,
17,165,148,-91,-65,157,-202,-316,-223,79,275,253,
11,135,124,-73,-56,130,-201,-316,-240,32,222,219,
2,98,96,-50,-47,97,-199,-312,-249,-17,157,175,
-7,55,62,-24,-34,59,-193,-301,-252,-66,80,119,
-18,14,32,2,-25,23,-179,-280,-253,-114,4,60,
-27,-17,10,22,-18,-3,-160,-253,-248,-148,-49,15,
-31,-37,-6,34,-12,-21,-138,-222,-232,-156,-73,-11,
-28,-47,-19,38,-4,-33,-115,-188,-206,-147,-79,-22,
-26,-49,-23,38,-1,-36,-91,-152,-173,-129,-75,-26,
-25,-47,-22,36,-1,-34,-67,-116,-139,-110,-69,-25,
-25,-43,-18,34,-3,-30,-45,-83,-103,-90,-61,-22,
-25,-39,-14,32,-5,-26,-27,-58,-74,-72,-53,-21,
-25,-35,-10,30,-7,-22,-13,-44,-50,-56,-45,-18,
-24,-31,-7,28,-8,-19,-7,-38,-34,-44,-36,-17,
-22,-31,-9,27,-6,-20,-5,-34,-25,-36,-30,-16,
-18,-31,-13,25,-2,-22,-2,-32,-21,-28,-27,-16,
-17,-31,-14,24,-1,-22,0,-27,-17,-23,-27,-16,
-18,-32,-14,25,-2,-23,4,-21,-15,-18,-27,-16,
-20,-31,-11,26,-4,-21,8,-14,-13,-16,-28,-16,
-20,-29,-9,25,-5,-19,12,-7,-9,-15,-28,-17,
-21,-28,-7,25,-7,-17,15,-2,-3,-15,-29,-16,
-22,-28,-6,25,-8,-17,17,0,2,-14,-27,-15,
-22,-27,-5,25,-8,-16,17,0,5,-13,-26,-15,
-21,-26,-5,24,-8,-15,16,-2,7,-13,-26,-14,
-21,-26,-5,24,-8,-15,16,-4,7,-13,-25,-15,
-21,-26,-5,24,-8,-15,16,-4,6,-12,-25,-14,
-20,-26,-6,23,-7,-16,16,-4,6,-11,-25,-15,
-20,-26,-6,23,-7,-16,17,-4,5,-11,-25,-15,
-21,-26,-5,24,-8,-15,17,-2,5,-11,-25,-15,
-20,-27,-7,24,-6,-17,17,0,7,-10,-25,-15,
-20,-27,-7,24,-6,-17,17,0,8,-9,-24,-14,
-20,-26,-6,23,-7,-16,17,1,9,-9,-24,-14,
-21,-26,-5,24,-8,-15,18,1,9,-8,-24,-15,
-20,-26,-6,23,-7,-16,19,2,10,-7,-25,-15,
-20,-26,-6,23,-7,-16,19,1,10,-7,-25,-16,
-20,-26,-6,23,-7,-16,19,1,10,-7,-26,-17,
-20,-26,-6,23,-7,-16,19,1,11,-7,-25,-16,
-18,-25,-7,22,-5,-16,19,3,12,-7,-25,-17,
-18,-25,-7,22,-5,-16,19,3,12,-7,-25,-17,
-19,-24,-5,22,-7,-14,19,4,12,-6,-25,-17,
-20,-22,-2,21,-9,-12,20,6,12,-5,-24,-16,
-20,-22,-2,21,-9,-12,20,6,12,-5,-24,-16,
-19,-22,-3,21,-8,-12,20,7,13,-4,-23,-17,
-20,-23,-3,22,-8,-13,20,7,13,-4,-23,-18,
-19,-22,-3,21,-8,-12,20,7,13,-3,-23,-18,
-18,-22,-4,20,-7,-13,20,8,14,-3,-23,-18,
-18,-22,-4,20,-7,-13,21,8,14,-2,-22,-19,
-18,-21,-3,20,-7,-12,21,9,15,-2,-21,-20,
-19,-21,-2,20,-8,-11,21,10,16,-1,-21,-19,
-18,-19,-1,19,-8,-10,21,10,17,-1,-21,-19,
-18,-19,-1,19,-8,-10,21,11,19,0,-20,-19,
-18,-18,0,18,-9,-9,21,11,19,1,-19,-19,
-18,-18,0,18,-9,-9,21,13,20,2,-18,-19,
-18,-19,-1,19,-8,-10,20,13,21,3,-18,-17,
-17,-19,-2,18,-7,-10,20,13,22,4,-18,-17,
-17,-19,-2,18,-7,-10,20,13,22,4,-18,-16,
-17,-18,-1,18,-8,-9,21,13,23,4,-18,-16,
-16,-18,-2,17,-7,-10,21,14,24,4,-18,-16,
-16,-18,-2,17,-7,-10,21,14,25,5,-18,-15,
-16,-17,-1,17,-7,-9,21,15,26,5,-17,-15,
-16,-17,-1,17,-7,-9,21,17,28,7,-16,-16,
-16,-16,0,16,-8,-8,21,18,30,9,-15,-15,
-16,-16,0,16,-8,-8,22,18,31,9,-16,-14,
-16,-16,0,16,-8,-8,22,19,32,10,-16,-13,
-15,-15,0,15,-7,-7,23,19,33,11,-16,-13,
-14,-14,0,14,-7,-7,23,20,34,12,-16,-13,
-13,-14,-1,14,-6,-7,22,21,36,13,-15,-12,
-13,-13,0,13,-6,-6,22,21,37,14,-13,-11,
-13,-13,0,13,-6,-6,22,23,39,16,-12,-9,
-12,-13,-1,13,-5,-7,23,24,39,17,-11,-8,
-12,-13,-1,13,-5,-7,23,25,41,18,-10,-7,
-11,-12,-1,12,-5,-6,23,25,42,20,-9,-5,
-12,-12,0,12,-6,-6,23,27,44,21,-8,-4,
-10,-12,-2,11,-4,-7,22,27,45,22,-8,-3,
-8,-13,-5,11,-1,-9,22,28,47,24,-8,-2,
-5,-13,-8,9,2,-10,22,28,48,25,-7,-2,
-3,-13,-10,8,4,-11,22,29,50,27,-5,-1,
-2,-11,-9,7,4,-10,22,31,52,28,-4,-1,
0,-10,-10,5,5,-10,22,32,53,29,-3,-1,
1,-10,-11,5,6,-10,22,34,55,31,-1,0,
2,-9,-11,4,7,-10,22,36,57,34,0,1,
4,-9,-13,3,9,-11,22,36,60,37,2,2,
5,-8,-13,2,9,-10,21,38,62,39,3,3,
7,-8,-15,1,11,-11,21,41,65,42,5,4,
9,-8,-17,0,13,-12,21,41,68,44,7,6,
10,-7,-17,-1,14,-12,21,43,70,46,9,6,
11,-5,-16,-3,14,-10,21,45,73,48,11,7,
12,-5,-17,-3,15,-11,21,47,76,51,14,9,
13,-3,-16,-5,15,-9,21,49,80,54,16,11,
13,-2,-15,-5,14,-8,21,50,83,57,19,13,
14,-1,-15,-6,15,-8,21,51,85,60,21,15,
15,0,-15,-7,15,-7,20,53,87,63,24,17,
17,1,-16,-9,17,-7,20,54,90,67,27,19,
19,2,-17,-10,18,-7,20,55,93,70,29,21,
21,3,-18,-12,20,-7,20,56,95,72,31,22,
24,4,-20,-14,22,-8,19,57,97,75,33,23,
27,6,-21,-16,24,-7,19,58,99,76,34,25,
29,6,-23,-17,26,-8,18,58,100,77,35,26,
31,7,-24,-19,28,-8,17,58,100,77,38,28,
31,7,-24,-19,28,-8,16,58,100,80,39,29,
33,9,-24,-21,29,-7,16,58,100,80,40,29,
34,10,-24,-22,29,-7,15,58,101,81,40,30,
36,11,-25,-23,31,-7,14,58,101,81,41,31,
37,11,-26,-24,32,-7,13,56,101,80,42,32,
38,12,-26,-25,32,-7,13,56,100,79,43,32,
39,12,-27,-25,33,-7,12,54,100,79,43,33,
39,13,-26,-26,33,-6,11,53,99,78,42,33,
40,13,-27,-26,34,-7,11,52,99,78,42,34,
40,13,-27,-26,34,-7,11,51,97,78,42,33,
39,13,-26,-26,33,-6,11,49,96,78,42,33,
40,14,-26,-27,33,-6,11,48,94,77,43,34,
40,15,-25,-27,33,-5,10,45,91,75,42,33,
39,14,-25,-26,32,-5,10,44,88,73,41,32,
39,14,-25,-26,32,-5,10,43,86,71,41,32,
38,14,-24,-26,31,-5,9,42,83,69,40,31,
39,14,-25,-26,32,-5,9,40,80,66,38,30,
38,14,-24,-26,31,-5,8,37,76,62,36,30,
38,14,-24,-26,31,-5,8,35,73,59,33,28,
37,15,-22,-26,30,-3,8,32,67,55,31,27,
36,15,-21,-25,29,-3,7,29,62,51,29,25,
34,15,-19,-24,27,-2,6,25,58,47,26,23,
33,14,-19,-23,26,-2,6,22,53,44,24,20,
33,14,-19,-23,26,-2,6,19,48,40,22,19,
32,14,-18,-23,25,-2,6,16,44,37,19,18,
30,13,-17,-21,24,-2,5,13,39,34,16,15,
29,12,-17,-20,23,-2,5,11,36,30,14,13,
28,12,-16,-20,22,-2,5,9,32,26,11,11,
27,11,-16,-19,22,-2,5,7,29,23,8,9,
24,10,-14,-17,19,-2,5,5,25,19,6,7,
23,9,-14,-16,19,-2,4,2,22,16,5,5,
22,7,-15,-14,19,-4,4,0,19,13,2,4,
20,7,-13,-13,17,-3,4,-3,16,10,0,2,
20,5,-15,-12,18,-5,4,-4,12,7,-3,0,
18,4,-14,-11,16,-5,4,-7,9,4,-5,-1,
16,2,-14,-9,15,-6,4,-8,5,2,-8,-2,
16,2,-14,-9,15,-6,3,-10,2,0,-10,-2,
17,1,-16,-9,17,-7,3,-11,0,-2,-12,-4,
16,0,-16,-8,16,-8,3,-12,0,-4,-12,-6,
16,0,-16,-8,16,-8,3,-13,-1,-5,-13,-8,
15,0,-15,-7,15,-7,3,-13,-3,-6,-15,-8,
14,0,-14,-7,14,-7,3,-14,-5,-7,-16,-8,
14,-1,-15,-6,15,-8,3,-15,-6,-8,-16,-10,
14,-1,-15,-6,15,-8,2,-15,-6,-9,-17,-10,
12,-3,-15,-4,14,-9,2,-16,-8,-10,-18,-11,
11,-4,-15,-3,13,-9,2,-17,-9,-12,-20,-12,
11,-4,-15,-3,13,-9,2,-17,-10,-13,-21,-13,
12,-5,-17,-3,15,-11,2,-18,-10,-14,-22,-13,
12,-6,-18,-3,15,-12,3,-19,-11,-14,-23,-14,
11,-7,-18,-2,15,-12,3,-19,-11,-16,-24,-15,
10,-7,-17,-1,14,-12,3,-20,-12,-17,-23,-17,
9,-7,-16,-1,13,-11,3,-19,-12,-17,-23,-17,
9,-7,-16,-1,13,-11,3,-19,-12,-16,-23,-16,
9,-8,-17,0,13,-12,2,-20,-13,-17,-23,-16,
9,-8,-17,0,13,-12,2,-20,-14,-17,-23,-17,
9,-8,-17,0,13,-12,3,-19,-15,-17,-24,-17,
9,-8,-17,0,13,-12,3,-20,-15,-17,-24,-18,
9,-8,-17,0,13,-12,2,-20,-15,-18,-25,-18,
9,-8,-17,0,13,-12,2,-20,-15,-18,-25,-18,
8,-8,-16,0,12,-12,2,-21,-15,-19,-25,-18,
8,-9,-17,1,13,-13,2,-20,-15,-19,-26,-18,
8,-9,-17,1,13,-13,2,-21,-15,-19,-25,-18,
8,-9,-17,1,13,-13,2,-21,-15,-19,-25,-18,
8,-9,-17,1,13,-13,2,-21,-15,-19,-25,-18,
8,-10,-18,1,13,-14,2,-21,-15,-18,-25,-18,
9,-10,-19,1,14,-14,2,-22,-16,-18,-25,-18,
8,-11,-19,2,14,-15,1,-22,-15,-20,-26,-19,
8,-11,-19,2,14,-15,0,-21,-15,-21,-26,-19,
7,-10,-17,2,12,-13,0,-21,-15,-20,-27,-20,
7,-9,-16,1,12,-12,1,-21,-15,-20,-27,-20,
7,-9,-16,1,12,-12,2,-21,-15,-20,-27,-20,
8,-8,-16,0,12,-12,2,-21,-15,-20,-26,-19,
8,-9,-17,1,13,-13,2,-20,-14,-19,-26,-20,
7,-9,-16,1,12,-12,1,-20,-14,-19,-27,-20,
6,-10,-16,2,11,-13,1,-20,-14,-19,-27,-20,
7,-10,-17,2,12,-13,1,-20,-14,-20,-28,-21,
6,-10,-16,2,11,-13,1,-20,-14,-19,-28,-22,
5,-10,-15,3,10,-12,1,-20,-14,-18,-27,-21,
5,-10,-15,3,10,-12,1,-19,-13,-18,-27,-21,
5,-9,-14,2,10,-11,1,-19,-12,-18,-26,-22,
5,-9,-14,2,10,-11,1,-19,-12,-18,-26,-22,
5,-9,-14,2,10,-11,2,-19,-13,-18,-26,-21,
5,-9,-14,2,10,-11,3,-19,-12,-17,-25,-21,
5,-9,-14,2,10,-11,4,-18,-11,-17,-25,-21,
5,-10,-15,3,10,-12,3,-18,-11,-17,-26,-22,
5,-10,-15,3,10,-12,3,-18,-10,-17,-27,-22,
6,-9,-15,2,11,-12,3,-17,-10,-17,-26,-22,
6,-9,-15,2,11,-12,3,-17,-9,-16,-26,-22,
6,-10,-16,2,11,-13,4,-17,-9,-16,-26,-22,
5,-9,-14,2,10,-11,3,-17,-9,-15,-26,-22,
6,-8,-14,1,10,-11,3,-16,-9,-16,-26,-22,
7,-8,-15,1,11,-11,3,-15,-8,-16,-25,-22,
7,-8,-15,1,11,-11,3,-15,-9,-15,-25,-22,
6,-9,-15,2,11,-12,2,-14,-9,-14,-26,-21,
7,-10,-17,2,12,-13,2,-14,-9,-14,-27,-21,
8,-10,-18,1,13,-14,2,-14,-9,-14,-26,-20,
7,-9,-16,1,12,-12,2,-15,-9,-13,-27,-21,
7,-9,-16,1,12,-12,2,-15,-8,-13,-27,-21,
7,-9,-16,1,12,-12,2,-14,-8,-13,-28,-21,
7,-9,-16,1,12,-12,3,-14,-8,-13,-27,-21,
8,-9,-17,1,13,-13,3,-14,-8,-13,-26,-20,
8,-8,-16,0,12,-12,3,-14,-7,-13,-26,-20,
8,-8,-16,0,12,-12,3,-13,-7,-12,-26,-21,
7,-7,-14,0,11,-10,3,-14,-6,-12,-26,-21,
7,-8,-15,1,11,-11,2,-15,-7,-13,-27,-21,
6,-8,-14,1,10,-11,2,-15,-7,-13,-26,-22,
7,-8,-15,1,11,-11,2,-15,-7,-12,-25,-22,
7,-7,-14,0,11,-10,2,-14,-6,-11,-25,-21,
7,-8,-15,1,11,-11,2,-14,-6,-10,-25,-21,
8,-7,-15,0,12,-11,3,-14,-6,-9,-24,-20,
7,-7,-14,0,11,-10,3,-14,-6,-9,-24,-20,
7,-7,-14,0,11,-10,3,-13,-6,-9,-24,-21,
7,-7,-14,0,11,-10,3,-14,-5,-8,-24,-20,
7,-7,-14,0,11,-10,3,-14,-7,-9,-24,-21,
6,-8,-14,1,10,-11,3,-15,-7,-10,-23,-20,
6,-8,-14,1,10,-11,2,-15,-6,-10,-23,-19,
7,-8,-15,1,11,-11,2,-14,-6,-10,-23,-19,
7,-7,-14,0,11,-10,3,-14,-7,-9,-23,-19,
6,-7,-13,1,10,-10,3,-14,-7,-9,-23,-19,
6,-8,-14,1,10,-11,3,-14,-6,-9,-23,-19,
6,-8,-14,1,10,-11,3,-14,-6,-9,-23,-19,
6,-8,-14,1,10,-11,3,-14,-6,-9,-22,-19,
6,-9,-15,2,11,-12,3,-14,-6,-9,-21,-19,
6,-10,-16,2,11,-13,3,-15,-6,-9,-22,-18,
6,-10,-16,2,11,-13,3,-15,-7,-9,-21,-19,
7,-10,-17,2,12,-13,3,-16,-7,-11,-22,-20,
6,-11,-17,3,12,-14,3,-16,-7,-10,-22,-19,
5,-12,-17,4,11,-14,4,-15,-7,-10,-22,-19,
6,-12,-18,3,12,-15,4,-14,-6,-11,-21,-19,
6,-12,-18,3,12,-15,5,-14,-6,-12,-21,-19,
6,-12,-18,3,12,-15,5,-14,-6,-11,-21,-19,
5,-12,-17,4,11,-14,5,-14,-6,-11,-21,-19,
5,-13,-18,4,12,-15,5,-14,-6,-11,-21,-19,
5,-13,-18,4,12,-15,5,-15,-6,-11,-21,-18,
4,-13,-17,5,11,-15,4,-15,-7,-11,-21,-18,
4,-14,-18,5,11,-16,4,-15,-6,-12,-22,-18,
4,-15,-19,6,12,-17,4,-15,-7,-11,-21,-18,
4,-15,-19,6,12,-17,5,-15,-7,-12,-21,-18,
4,-14,-18,5,11,-16,5,-14,-7,-12,-21,-18,
4,-13,-17,5,11,-15,5,-14,-8,-12,-21,-18,
4,-13,-17,5,11,-15,5,-14,-8,-12,-21,-18,
4,-13,-17,5,11,-15,5,-15,-8,-12,-21,-18,
4,-13,-17,5,11,-15,5,-15,-8,-13,-21,-17,
4,-14,-18,5,11,-16,5,-15,-8,-14,-21,-16,
4,-14,-18,5,11,-16,5,-15,-8,-15,-21,-16,
4,-14,-18,5,11,-16,5,-16,-9,-15,-21,-16,
4,-14,-18,5,11,-16,5,-15,-8,-15,-21,-16,
4,-14,-18,5,11,-16,5,-15,-8,-14,-21,-15,
4,-15,-19,6,12,-17,5,-16,-9,-15,-22,-16,
4,-15,-19,6,12,-17,5,-16,-8,-14,-22,-16,
4,-15,-19,6,12,-17,5,-15,-8,-14,-22,-15,
4,-15,-19,6,12,-17,5,-16,-8,-14,-23,-15,
3,-15,-18,6,11,-16,5,-16,-8,-14,-22,-15,
3,-15,-18,6,11,-16,4,-16,-8,-15,-22,-15,
3,-16,-19,7,11,-17,4,-16,-8,-14,-23,-16,
2,-17,-19,8,11,-18,5,-17,-8,-14,-22,-16,
1,-17,-18,8,10,-17,5,-17,-8,-14,-23,-16,
2,-17,-19,8,11,-18,5,-16,-9,-14,-22,-16,
1,-18,-19,9,10,-18,5,-16,-9,-14,-22,-16,
2,-19,-21,9,12,-20,5,-16,-10,-15,-22,-16,
3,-18,-21,8,12,-19,6,-16,-9,-14,-22,-16,
2,-17,-19,8,11,-18,7,-15,-9,-13,-22,-16,
2,-15,-17,7,10,-16,7,-14,-8,-13,-21,-15,
2,-13,-15,6,9,-14,8,-14,-6,-12,-20,-15,
3,-11,-14,4,9,-12,9,-12,-5,-11,-19,-15,
3,-8,-11,3,7,-9,10,-11,-4,-11,-19,-13,
5,-5,-10,0,8,-7,11,-10,-2,-10,-18,-13,
4,-3,-7,0,6,-5,11,-9,0,-9,-17,-12,
4,-1,-5,-1,5,-3,12,-8,0,-7,-15,-11,
5,0,-5,-2,5,-2,12,-7,1,-5,-15,-10,
5,1,-4,-3,5,-1,13,-6,1,-4,-15,-9,
5,1,-4,-3,5,-1,13,-6,2,-3,-14,-10,
5,1,-4,-3,5,-1,13,-6,3,-3,-14,-10,
5,4,-1,-4,3,2,13,-5,3,-2,-12,-9,
5,5,0,-5,3,3,13,-4,4,-2,-11,-9,
6,7,1,-6,3,4,12,-3,5,-1,-10,-9,
7,9,2,-8,3,6,12,-3,6,-1,-9,-8,
7,11,4,-9,2,8,13,-3,7,0,-8,-7,
7,11,4,-9,2,8,13,-5,8,1,-7,-5,
8,13,5,-10,2,9,11,-7,6,2,-6,-4,
7,15,8,-11,0,12,10,-8,6,2,-7,-3,
8,17,9,-12,0,13,9,-9,5,2,-7,-1,
9,20,11,-14,-1,16,8,-10,6,4,-5,0,
10,23,13,-16,-1,18,7,-11,7,5,-2,0,
11,23,12,-17,0,18,5,-13,6,5,-2,1,
11,24,13,-17,-1,19,4,-14,6,5,-1,2,
13,24,11,-18,1,18,3,-15,6,5,0,3,
13,24,11,-18,1,18,2,-15,7,6,1,4,
13,24,11,-18,1,18,1,-15,7,6,2,5,
14,24,10,-19,2,17,0,-14,7,7,2,4,
14,23,9,-18,3,16,0,-14,7,6,1,4,
14,22,8,-18,3,15,-1,-15,5,5,0,3,
14,21,7,-17,4,14,-3,-16,5,5,-1,2,
13,20,7,-16,3,14,-2,-16,5,5,0,3,
11,18,7,-14,2,13,-2,-16,4,4,0,3,
10,16,6,-13,2,11,-2,-16,3,3,-1,3,
10,14,4,-12,3,9,-2,-17,2,2,-1,3,
10,11,1,-10,5,6,-3,-19,0,1,-4,2,
11,7,-4,-9,8,2,-4,-20,-2,0,-6,0,
10,2,-8,-6,9,-3,-4,-20,-3,-2,-7,-2,
8,-1,-9,-3,9,-5,-4,-19,-3,-3,-8,-3,
6,-4,-10,-1,8,-7,-3,-19,-4,-5,-9,-4,
6,-7,-13,1,10,-10,-3,-19,-5,-6,-11,-6,
5,-8,-13,2,9,-10,-2,-19,-5,-7,-12,-7,
4,-10,-14,3,9,-12,-1,-19,-5,-9,-14,-8,
4,-12,-16,4,10,-14,0,-18,-6,-11,-15,-10,
2,-13,-15,6,9,-14,1,-19,-7,-12,-17,-13,
0,-15,-15,8,8,-15,1,-19,-7,-12,-19,-13,
0,-16,-16,8,8,-16,2,-19,-8,-13,-20,-13,
0,-18,-18,9,9,-18,3,-18,-8,-13,-20,-14,
-2,-19,-17,11,8,-18,3,-19,-10,-14,-21,-15,
-2,-20,-18,11,8,-19,3,-20,-11,-16,-23,-16,
-3,-21,-18,12,8,-19,3,-19,-10,-17,-23,-17,
-3,-21,-18,12,8,-19,3,-19,-10,-17,-23,-17,
-3,-23,-20,13,9,-21,3,-20,-10,-17,-23,-17,
-3,-23,-20,13,9,-21,3,-21,-11,-18,-25,-19,
-3,-24,-21,14,9,-22,3,-21,-12,-17,-25,-20,
-3,-25,-22,14,10,-23,4,-21,-12,-17,-25,-19,
-2,-25,-23,14,11,-24,4,-20,-13,-18,-25,-19,
-2,-26,-24,14,11,-25,5,-20,-13,-19,-25,-19,
-3,-26,-23,15,10,-24,5,-20,-13,-19,-25,-19,
-4,-28,-24,16,10,-26,5,-20,-13,-18,-26,-19,
-4,-28,-24,16,10,-26,5,-20,-13,-20,-27,-19,
-4,-28,-24,16,10,-26,5,-20,-12,-20,-26,-19,
-3,-28,-25,16,11,-26,5,-21,-13,-20,-27,-19,
-3,-28,-25,16,11,-26,5,-21,-14,-20,-26,-20,
-4,-29,-25,17,11,-27,5,-20,-15,-21,-27,-20,
-3,-29,-26,16,12,-27,4,-20,-14,-20,-27,-21,
-3,-29,-26,16,12,-27,4,-20,-14,-21,-27,-21,
-3,-31,-28,17,13,-29,4,-20,-14,-21,-27,-21,
-3,-31,-28,17,13,-29,5,-20,-14,-21,-27,-20,
-3,-30,-27,17,12,-28,5,-19,-14,-21,-28,-20,
-3,-30,-27,17,12,-28,6,-19,-13,-20,-28,-20,
-3,-30,-27,17,12,-28,7,-19,-14,-21,-29,-19,
