‡T,‡U,‡V,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-12,-10,2,11,-7,-4,-12,-21,-32,-29,-22,-18,
-10,-10,0,10,-5,-5,-12,-21,-32,-29,-22,-18,
-10,-11,-1,11,-4,-6,-13,-22,-32,-30,-22,-20,
-12,-13,-1,13,-5,-7,-14,-23,-33,-31,-23,-20,
-12,-14,-2,13,-5,-8,-15,-23,-33,-32,-24,-20,
-13,-15,-2,14,-5,-8,-14,-23,-33,-32,-24,-21,
-13,-16,-3,15,-5,-9,-14,-23,-34,-32,-24,-21,
-12,-16,-4,14,-4,-10,-14,-24,-34,-32,-25,-23,
-12,-15,-3,14,-4,-9,-13,-24,-34,-32,-23,-22,
-13,-15,-2,14,-5,-8,-13,-24,-34,-32,-23,-21,
-13,-15,-2,14,-5,-8,-13,-24,-34,-32,-23,-21,
-13,-17,-4,15,-4,-10,-14,-25,-36,-34,-26,-23,
-11,-14,-3,13,-4,-8,-14,-25,-36,-35,-26,-24,
-12,-14,-2,13,-5,-8,-14,-25,-37,-35,-27,-23,
-14,-16,-2,15,-6,-9,-14,-24,-37,-35,-27,-25,
-14,-16,-2,15,-6,-9,-14,-24,-36,-36,-27,-26,
-13,-16,-3,15,-5,-9,-13,-24,-35,-36,-27,-26,
-13,-16,-3,15,-5,-9,-12,-23,-33,-36,-27,-25,
-12,-17,-5,15,-3,-11,-12,-22,-33,-35,-26,-25,
-12,-18,-6,15,-3,-12,-11,-22,-33,-35,-26,-24,
-13,-20,-7,17,-3,-13,-12,-23,-35,-35,-27,-24,
-13,-22,-9,18,-2,-15,-11,-23,-34,-34,-27,-24,
-12,-21,-9,17,-1,-15,-10,-22,-34,-33,-26,-23,
-12,-21,-9,17,-1,-15,-9,-21,-34,-33,-26,-23,
-12,-20,-8,16,-2,-14,-9,-22,-34,-34,-26,-23,
-12,-20,-8,16,-2,-14,-10,-22,-34,-35,-26,-24,
-13,-21,-8,17,-2,-14,-9,-21,-34,-35,-26,-25,
-14,-22,-8,18,-3,-15,-9,-20,-34,-35,-26,-25,
-14,-23,-9,19,-2,-16,-8,-20,-34,-35,-25,-25,
-15,-21,-6,18,-4,-13,-7,-19,-33,-34,-26,-26,
-14,-19,-5,17,-4,-12,-8,-17,-32,-34,-28,-26,
-16,-20,-4,18,-6,-12,-6,-16,-32,-35,-30,-29,
-18,-24,-6,21,-6,-15,-1,-13,-30,-36,-32,-30,
-20,-27,-7,24,-6,-17,6,-7,-29,-38,-36,-33,
-22,-28,-6,25,-8,-17,17,3,-27,-42,-44,-39,
-28,-30,-2,29,-13,-16,33,18,-25,-48,-57,-49,
-33,-29,4,31,-18,-12,49,35,-22,-52,-71,-59,
-37,-29,8,33,-22,-10,62,51,-18,-54,-81,-66,
-39,-30,9,35,-24,-10,73,65,-11,-53,-85,-69,
-40,-29,11,35,-25,-9,80,79,0,-48,-85,-68,
-41,-28,13,35,-27,-7,88,98,19,-38,-82,-67,
-35,-25,10,30,-22,-7,97,123,49,-18,-69,-61,
-22,-13,9,18,-15,-2,105,150,87,15,-42,-46,
-5,4,9,1,-7,7,106,165,118,54,-4,-23,
14,22,8,-18,3,15,100,159,136,94,44,7,
36,44,8,-40,14,26,86,141,147,139,101,44,
60,73,13,-66,24,43,66,111,158,190,167,89,
82,101,19,-91,32,60,38,75,171,247,238,136,
102,127,25,-114,39,76,3,31,184,304,309,183,
119,148,29,-133,45,89,-32,-12,198,355,374,227,
130,156,26,-143,52,91,-63,-53,213,399,426,261,
135,151,16,-143,60,84,-95,-99,208,415,454,278,
136,130,-6,-133,71,62,-121,-145,176,389,447,273,
133,95,-38,-114,86,29,-134,-177,131,329,402,248,
125,60,-65,-92,95,-2,-137,-198,77,249,328,209,
108,35,-73,-71,91,-19,-138,-225,-5,140,235,166,
83,17,-66,-50,75,-24,-143,-263,-124,-5,127,120,
59,1,-58,-30,59,-28,-151,-304,-238,-138,29,77,
40,-14,-54,-13,47,-34,-158,-325,-299,-213,-37,41,
22,-25,-47,2,35,-36,-159,-330,-317,-240,-75,13,
4,-31,-35,14,20,-33,-157,-323,-310,-241,-94,-6,
-15,-35,-20,25,3,-27,-153,-310,-295,-234,-103,-23,
-30,-37,-7,34,-11,-22,-147,-294,-276,-225,-109,-37,
-37,-33,4,35,-20,-14,-138,-274,-255,-215,-110,-45,
-36,-25,11,31,-23,-7,-123,-245,-231,-196,-105,-46,
-31,-17,14,24,-22,-1,-106,-208,-198,-169,-95,-44,
-29,-14,15,22,-22,1,-88,-166,-162,-136,-83,-40,
-26,-13,13,20,-19,0,-68,-124,-128,-106,-72,-37,
-24,-12,12,18,-18,0,-49,-86,-99,-83,-63,-35,
-23,-11,12,17,-17,1,-35,-56,-77,-68,-56,-35,
-24,-11,13,18,-18,1,-25,-40,-62,-62,-53,-34,
-24,-12,12,18,-18,0,-20,-32,-52,-58,-48,-33,
-21,-13,8,17,-14,-2,-17,-28,-44,-56,-45,-32,
-21,-13,8,17,-14,-2,-13,-25,-38,-53,-41,-32,
-18,-13,5,16,-11,-4,-9,-20,-33,-48,-38,-30,
-17,-15,2,16,-9,-6,-4,-13,-29,-41,-37,-30,
-17,-17,0,17,-8,-8,2,-3,-25,-33,-36,-30,
-18,-20,-2,19,-8,-11,8,4,-23,-29,-36,-30,
-18,-21,-3,20,-7,-12,11,11,-21,-28,-36,-33,
-18,-23,-5,21,-6,-14,13,14,-19,-28,-37,-33,
-18,-26,-8,22,-5,-17,11,15,-17,-31,-37,-35,
-18,-25,-7,22,-5,-16,8,12,-17,-33,-37,-37,
-17,-22,-5,20,-6,-13,7,9,-16,-34,-37,-38,
-16,-20,-4,18,-6,-12,8,8,-13,-31,-35,-37,
-16,-21,-5,19,-5,-13,9,8,-11,-28,-34,-36,
-16,-20,-4,18,-6,-12,11,12,-10,-26,-34,-36,
-16,-20,-4,18,-6,-12,12,15,-9,-25,-33,-36,
-18,-21,-3,20,-7,-12,13,17,-9,-24,-33,-36,
-19,-21,-2,20,-8,-11,13,18,-8,-23,-33,-36,
-18,-21,-3,20,-7,-12,14,20,-7,-23,-32,-36,
-17,-21,-4,19,-6,-12,15,22,-7,-22,-31,-35,
-17,-23,-6,20,-5,-14,15,22,-6,-23,-31,-35,
-17,-24,-7,21,-5,-15,15,22,-6,-23,-32,-36,
-17,-23,-6,20,-5,-14,15,22,-5,-23,-33,-37,
-17,-22,-5,20,-6,-13,15,22,-5,-23,-33,-37,
-16,-22,-6,19,-5,-14,15,23,-3,-22,-31,-36,
-15,-22,-7,19,-4,-14,15,25,-2,-21,-30,-35,
-14,-21,-7,18,-3,-14,15,26,-1,-20,-30,-33,
-14,-21,-7,18,-3,-14,16,26,-1,-19,-30,-32,
-15,-22,-7,19,-4,-14,17,27,0,-18,-30,-31,
-14,-22,-8,18,-3,-15,18,28,0,-17,-30,-30,
-14,-22,-8,18,-3,-15,18,30,2,-17,-29,-29,
-14,-21,-7,18,-3,-14,17,30,2,-17,-29,-29,
-14,-21,-7,18,-3,-14,17,31,2,-17,-29,-29,
-14,-21,-7,18,-3,-14,17,31,3,-16,-29,-29,
-14,-21,-7,18,-3,-14,18,32,4,-16,-28,-29,
-14,-21,-7,18,-3,-14,18,32,5,-14,-28,-28,
-14,-22,-8,18,-3,-15,19,34,6,-12,-27,-27,
-12,-21,-9,17,-1,-15,19,36,9,-11,-26,-24,
-11,-19,-8,15,-1,-13,20,37,11,-10,-26,-24,
-10,-18,-8,14,-1,-13,21,38,12,-8,-25,-23,
-10,-18,-8,14,-1,-13,22,41,14,-6,-23,-22,
-12,-20,-8,16,-2,-14,22,43,15,-6,-22,-22,
-12,-18,-6,15,-3,-12,22,43,15,-6,-23,-23,
-12,-18,-6,15,-3,-12,22,42,15,-6,-23,-24,
-11,-19,-8,15,-1,-13,23,44,16,-5,-21,-22,
-9,-18,-9,14,0,-13,24,46,18,-2,-20,-22,
-9,-17,-8,13,0,-12,24,46,20,0,-19,-22,
-10,-20,-10,15,0,-15,24,48,23,1,-18,-22,
-11,-22,-11,17,0,-16,24,50,25,3,-18,-23,
-10,-18,-8,14,-1,-13,23,50,26,3,-18,-24,
-10,-16,-6,13,-2,-11,23,51,26,4,-19,-25,
-9,-16,-7,13,-1,-11,24,53,30,5,-18,-24,
-8,-16,-8,12,0,-12,24,56,33,8,-16,-23,
-7,-14,-7,11,0,-10,25,58,34,10,-13,-23,
-5,-13,-8,9,2,-10,26,60,36,12,-12,-23,
-5,-11,-6,8,1,-8,27,61,38,13,-11,-23,
-5,-11,-6,8,1,-8,27,62,39,14,-10,-23,
-5,-10,-5,8,0,-7,27,63,41,16,-9,-22,
-3,-9,-6,6,2,-7,27,66,44,19,-7,-21,
-3,-9,-6,6,2,-7,29,68,47,21,-4,-20,
-2,-9,-7,6,3,-8,29,70,50,24,-3,-19,
-2,-10,-8,6,3,-9,29,72,53,28,0,-17,
-2,-9,-7,6,3,-8,29,74,56,31,2,-16,
-1,-6,-5,4,2,-5,30,76,59,33,2,-15,
0,-3,-3,2,2,-3,31,79,62,35,5,-12,
2,-2,-4,0,3,-3,32,81,66,37,7,-11,
7,1,-6,-4,7,-2,34,85,70,41,11,-8,
16,6,-10,-11,13,-2,38,91,76,48,17,-3,
17,6,-11,-11,14,-2,38,92,79,51,20,0,
14,5,-9,-9,12,-2,38,92,80,51,22,0,
14,6,-8,-10,11,-1,39,93,82,55,25,2,
17,11,-6,-14,12,3,40,96,85,59,27,4,
12,12,0,-12,6,6,38,97,87,60,28,3,
9,12,3,-10,3,8,36,97,88,61,29,3,
10,11,1,-10,5,6,36,98,91,65,33,6,
11,9,-2,-10,7,4,37,100,95,68,37,9,
13,10,-3,-11,8,4,36,99,96,70,40,11,
14,11,-3,-12,9,4,36,99,97,72,42,11,
14,11,-3,-12,9,4,35,100,99,75,45,14,
16,12,-4,-14,10,4,36,102,102,79,49,17,
17,15,-2,-16,10,7,35,102,103,82,51,19,
19,18,-1,-18,10,9,35,102,105,85,55,21,
21,21,0,-21,11,11,35,102,108,88,58,23,
23,25,2,-24,11,14,35,102,110,89,60,25,
23,27,4,-25,10,16,33,102,111,91,62,28,
24,29,5,-26,10,17,33,101,112,91,63,29,
24,30,6,-27,9,18,32,101,113,93,65,31,
25,30,5,-27,10,18,30,101,114,94,68,33,
27,31,4,-29,12,18,28,100,113,95,70,34,
27,31,4,-29,12,18,27,99,112,95,71,36,
28,32,4,-30,12,18,26,97,111,96,73,37,
29,34,5,-31,12,20,26,95,109,95,74,39,
29,35,6,-32,12,21,24,92,108,94,74,40,
29,36,7,-32,11,22,23,89,106,94,75,41,
29,38,9,-33,10,24,21,86,104,93,76,42,
29,39,10,-34,10,25,19,83,101,91,76,41,
29,39,10,-34,10,25,18,80,96,89,75,41,
28,38,10,-33,9,24,17,77,93,86,74,41,
27,38,11,-32,8,25,15,73,88,83,72,40,
26,38,12,-32,7,25,13,69,83,78,70,39,
26,38,12,-32,7,25,13,65,79,74,67,39,
26,37,11,-31,8,24,12,62,75,71,64,39,
25,36,11,-30,7,24,11,57,69,66,60,39,
25,36,11,-30,7,24,11,54,64,62,57,38,
28,39,11,-33,9,25,11,51,61,59,55,36,
21,31,10,-26,6,21,9,46,55,53,50,32,
12,22,10,-17,1,16,6,41,48,46,45,28,
11,22,11,-16,0,17,6,37,44,43,41,26,
10,21,11,-15,0,16,6,34,39,38,38,24,
11,22,11,-16,0,17,5,32,36,35,35,24,
11,21,10,-16,1,16,3,28,31,31,32,22,
9,15,6,-12,2,11,2,23,25,25,27,18,
6,12,6,-9,0,9,1,19,20,20,23,16,
5,11,6,-8,0,9,0,16,16,16,19,14,
2,9,7,-5,-2,8,0,14,12,12,15,13,
0,7,7,-3,-3,7,-2,11,9,9,12,12,
0,7,7,-3,-3,7,-3,9,6,7,10,10,
-1,5,6,-2,-3,6,-4,6,2,3,7,7,
-3,3,6,0,-4,5,-4,3,0,0,4,5,
-3,3,6,0,-4,5,-5,1,-3,-3,2,2,
-3,2,5,1,-4,4,-6,-1,-6,-6,-1,2,
-3,1,4,1,-3,3,-6,-3,-8,-7,-3,1,
-3,0,3,2,-3,2,-6,-5,-10,-10,-4,-1,
-4,0,4,2,-4,2,-6,-6,-13,-12,-7,-3,
-4,-1,3,3,-3,1,-6,-8,-16,-15,-9,-4,
-5,-1,4,3,-4,2,-6,-9,-17,-17,-10,-5,
-5,-2,3,4,-4,1,-7,-10,-18,-18,-11,-6,
-5,-2,3,4,-4,1,-7,-11,-19,-18,-11,-6,
-6,-3,3,5,-4,0,-8,-11,-20,-19,-13,-6,
-6,-3,3,5,-4,0,-8,-12,-21,-19,-13,-6,
-6,-4,2,5,-4,-1,-8,-12,-22,-21,-14,-6,
-5,-4,1,5,-3,-1,-8,-14,-23,-22,-15,-6,
-2,-3,-1,3,0,-2,-8,-14,-23,-22,-14,-6,
-5,-5,0,5,-2,-2,-8,-14,-23,-22,-15,-6,
-11,-10,1,11,-6,-4,-10,-17,-25,-24,-17,-8,
-11,-11,0,11,-5,-5,-9,-16,-26,-24,-17,-7,
-9,-11,-2,10,-3,-6,-9,-15,-26,-23,-17,-7,
-7,-8,-1,8,-3,-4,-8,-15,-25,-24,-17,-7,
-7,-7,0,7,-3,-3,-9,-16,-28,-25,-18,-8,
-9,-11,-2,10,-3,-6,-9,-16,-28,-25,-19,-7,
-9,-12,-3,11,-3,-7,-8,-17,-29,-25,-20,-7,
-9,-12,-3,11,-3,-7,-8,-17,-29,-25,-19,-7,
-10,-12,-2,11,-4,-7,-8,-17,-29,-25,-19,-6,
-10,-12,-2,11,-4,-7,-8,-19,-29,-26,-20,-6,
-11,-12,-1,12,-5,-6,-8,-19,-29,-27,-20,-6,
-10,-12,-2,11,-4,-7,-8,-18,-28,-26,-20,-5,
-9,-13,-4,11,-2,-8,-8,-17,-28,-25,-19,-5,
-9,-9,0,9,-4,-4,-9,-17,-28,-25,-19,-6,
-9,-5,4,7,-6,0,-9,-18,-29,-26,-19,-6,
-9,-7,2,8,-5,-2,-9,-17,-30,-27,-18,-6,
-8,-10,-2,9,-3,-6,-9,-18,-30,-27,-18,-5,
-7,-11,-4,9,-1,-7,-10,-18,-30,-27,-18,-5,
-7,-10,-3,9,-2,-6,-9,-18,-29,-27,-19,-5,
-8,-10,-2,9,-3,-6,-9,-18,-29,-27,-19,-6,
-8,-9,-1,9,-3,-5,-9,-17,-29,-27,-19,-5,
-7,-9,-2,8,-2,-5,-9,-17,-28,-27,-18,-5,
-7,-9,-2,8,-2,-5,-9,-15,-28,-26,-17,-5,
-6,-10,-4,8,-1,-7,-9,-15,-27,-25,-18,-4,
-3,-6,-3,5,0,-4,-7,-13,-26,-24,-16,-2,
-3,-5,-2,4,0,-3,-6,-13,-26,-24,-16,-1,
-6,-6,0,6,-3,-3,-9,-15,-27,-25,-18,-1,
-10,-10,0,10,-5,-5,-10,-16,-28,-26,-20,-4,
-10,-11,-1,11,-4,-6,-10,-16,-28,-26,-20,-5,
-7,-9,-2,8,-2,-5,-9,-14,-27,-25,-20,-4,
-7,-9,-2,8,-2,-5,-8,-14,-27,-25,-19,-4,
-7,-10,-3,9,-2,-6,-7,-14,-27,-26,-19,-4,
-8,-11,-3,10,-2,-7,-8,-14,-28,-26,-20,-4,
-10,-14,-4,12,-3,-9,-8,-14,-28,-26,-21,-4,
-12,-13,-1,13,-5,-7,-8,-14,-28,-27,-21,-4,
-11,-11,0,11,-5,-5,-8,-13,-27,-27,-21,-4,
-10,-11,-1,11,-4,-6,-7,-12,-27,-27,-20,-4,
-10,-11,-1,11,-4,-6,-7,-12,-27,-27,-20,-4,
-9,-10,-1,10,-4,-5,-7,-11,-27,-27,-20,-4,
-9,-10,-1,10,-4,-5,-7,-11,-26,-27,-20,-4,
-9,-10,-1,10,-4,-5,-7,-11,-25,-27,-19,-3,
-9,-11,-2,10,-3,-6,-6,-10,-25,-26,-19,-3,
-9,-11,-2,10,-3,-6,-6,-10,-24,-26,-18,-2,
-10,-11,-1,11,-4,-6,-5,-10,-24,-26,-18,-2,
-10,-11,-1,11,-4,-6,-4,-10,-24,-26,-19,-4,
-10,-10,0,10,-5,-5,-4,-10,-26,-27,-20,-5,
-8,-9,-1,9,-3,-5,-4,-9,-25,-27,-20,-5,
-6,-7,-1,7,-2,-4,-2,-8,-25,-26,-19,-5,
-3,-3,0,3,-1,-1,-2,-8,-24,-25,-19,-4,
-4,-5,-1,5,-1,-3,-1,-7,-23,-25,-20,-4,
-7,-8,-1,8,-3,-4,-2,-7,-23,-24,-21,-5,
-8,-8,0,8,-4,-4,-2,-8,-23,-24,-22,-8,
-6,-6,0,6,-3,-3,-2,-6,-23,-24,-22,-8,
-8,-7,1,8,-4,-3,-2,-5,-22,-24,-21,-10,
-9,-7,2,8,-5,-2,-1,-5,-21,-24,-21,-10,
-9,-7,2,8,-5,-2,0,-5,-21,-24,-21,-10,
-11,-10,1,11,-6,-4,-1,-5,-21,-25,-22,-12,
-11,-10,1,11,-6,-4,-2,-7,-22,-25,-23,-13,
-12,-12,0,12,-6,-6,-1,-6,-22,-25,-23,-12,
-12,-14,-2,13,-5,-8,-1,-5,-21,-25,-23,-13,
-12,-12,0,12,-6,-6,-2,-6,-22,-25,-23,-14,
-10,-10,0,10,-5,-5,-2,-6,-22,-24,-22,-15,
-10,-10,0,10,-5,-5,-2,-5,-22,-23,-22,-15,
-10,-11,-1,11,-4,-6,-2,-5,-22,-23,-23,-16,
-11,-11,0,11,-5,-5,-2,-5,-22,-23,-23,-15,
-10,-11,-1,11,-4,-6,-2,-4,-22,-24,-24,-16,
-9,-12,-3,11,-3,-7,-3,-4,-22,-23,-23,-16,
-9,-11,-2,10,-3,-6,-2,-4,-22,-23,-22,-16,
-9,-11,-2,10,-3,-6,-2,-4,-22,-23,-22,-15,
-11,-11,0,11,-5,-5,-1,-4,-22,-23,-23,-16,
-11,-12,-1,12,-5,-6,-2,-5,-22,-23,-23,-15,
-9,-11,-2,10,-3,-6,-2,-4,-22,-23,-23,-15,
-9,-9,0,9,-4,-4,-2,-4,-22,-23,-23,-15,
-9,-9,0,9,-4,-4,-2,-4,-21,-23,-23,-15,
-9,-8,1,9,-5,-3,-1,-4,-21,-23,-22,-15,
-10,-9,1,10,-5,-4,-1,-4,-20,-23,-22,-14,
-11,-10,1,11,-6,-4,-1,-4,-20,-22,-22,-14,
-10,-9,1,10,-5,-4,-1,-4,-20,-23,-22,-15,
-10,-10,0,10,-5,-5,-1,-5,-21,-23,-21,-16,
-10,-10,0,10,-5,-5,-1,-4,-21,-22,-21,-16,
-10,-8,2,9,-6,-3,-1,-4,-20,-22,-21,-15,
-10,-8,2,9,-6,-3,-1,-4,-20,-20,-21,-14,
-9,-6,3,8,-6,-1,-1,-4,-19,-19,-19,-13,
-9,-5,4,7,-6,0,0,-4,-19,-19,-19,-12,
-7,-2,5,5,-6,2,0,-3,-19,-19,-17,-10,
-6,0,6,3,-6,3,1,-4,-18,-18,-17,-10,
-6,2,8,2,-7,5,0,-5,-18,-18,-17,-9,
-5,2,7,2,-6,5,0,-4,-18,-18,-16,-9,
-5,3,8,1,-6,6,2,-4,-18,-17,-15,-8,
-4,6,10,-1,-7,8,2,-4,-17,-16,-14,-7,
-4,8,12,-2,-8,10,2,-3,-17,-16,-14,-6,
-3,11,14,-4,-8,13,2,-4,-17,-16,-14,-7,
-2,12,14,-5,-8,13,2,-4,-17,-15,-13,-6,
-2,14,16,-6,-9,15,2,-4,-16,-14,-12,-4,
0,17,17,-8,-8,17,3,-3,-15,-13,-11,-3,
0,17,17,-8,-8,17,2,-2,-15,-12,-10,-2,
-1,14,15,-6,-8,15,1,-2,-14,-12,-10,-2,
0,17,17,-8,-8,17,1,-3,-12,-11,-9,0,
4,20,16,-12,-6,18,0,-3,-11,-11,-8,1,
3,19,16,-11,-6,18,-3,-6,-13,-11,-8,0,
5,20,15,-12,-5,18,-6,-8,-15,-12,-7,0,
7,21,14,-14,-3,18,-6,-8,-14,-11,-6,1,
6,19,13,-12,-3,16,-9,-9,-14,-11,-6,2,
4,17,13,-10,-4,15,-11,-11,-15,-12,-6,2,
4,20,16,-12,-6,18,-14,-14,-17,-13,-6,3,
6,21,15,-13,-4,18,-16,-15,-18,-13,-8,4,
6,21,15,-13,-4,18,-16,-15,-18,-14,-9,4,
6,21,15,-13,-4,18,-16,-16,-18,-14,-8,4,
8,22,14,-15,-3,18,-17,-18,-21,-14,-9,4,
9,23,14,-16,-2,19,-16,-19,-21,-15,-8,6,
10,21,11,-15,0,16,-16,-19,-22,-16,-8,6,
10,21,11,-15,0,16,-17,-21,-23,-18,-8,6,
12,21,9,-16,2,15,-18,-22,-24,-18,-9,5,
11,18,7,-14,2,13,-18,-22,-25,-18,-9,5,
10,17,7,-13,2,12,-18,-22,-25,-18,-8,5,
11,19,8,-15,2,14,-18,-21,-25,-18,-8,5,
13,19,6,-16,4,13,-17,-21,-25,-18,-8,5,
12,15,3,-13,5,9,-16,-20,-24,-17,-8,5,
6,9,3,-7,2,6,-16,-19,-24,-18,-8,4,
2,6,4,-4,-1,5,-17,-20,-27,-20,-11,1,
0,3,3,-1,-1,3,-16,-19,-26,-20,-13,0,
-1,2,3,0,-2,3,-14,-18,-26,-20,-12,-1,
-1,0,1,1,-1,1,-11,-16,-24,-19,-11,0,
-1,0,1,1,-1,1,-10,-16,-24,-19,-11,0,
-2,1,3,1,-2,2,-10,-17,-27,-22,-14,-3,
-5,-3,2,4,-3,0,-10,-18,-29,-25,-17,-6,
-10,-9,1,10,-5,-4,-13,-21,-32,-30,-21,-9,
-10,-11,-1,11,-4,-6,-14,-23,-34,-32,-23,-11,
-9,-11,-2,10,-3,-6,-13,-22,-34,-32,-23,-11,
-9,-11,-2,10,-3,-6,-13,-23,-33,-31,-23,-12,
-8,-12,-4,10,-2,-8,-14,-24,-34,-31,-24,-13,
-8,-12,-4,10,-2,-8,-14,-24,-35,-32,-25,-14,
-10,-13,-3,12,-3,-8,-14,-25,-36,-32,-26,-14,
-9,-14,-5,12,-2,-9,-14,-25,-36,-32,-26,-15,
-10,-14,-4,12,-3,-9,-14,-24,-37,-32,-27,-15,
-10,-15,-5,13,-2,-10,-14,-24,-37,-32,-26,-15,
-11,-15,-4,13,-3,-9,-13,-25,-36,-32,-26,-15,
-11,-15,-4,13,-3,-9,-14,-25,-36,-34,-27,-16,
-12,-15,-3,14,-4,-9,-14,-25,-38,-33,-27,-15,
-12,-16,-4,14,-4,-10,-13,-24,-37,-33,-26,-15,
-12,-16,-4,14,-4,-10,-13,-24,-37,-34,-26,-15,
-12,-16,-4,14,-4,-10,-13,-23,-37,-33,-25,-15,
-12,-17,-5,15,-3,-11,-12,-23,-37,-33,-25,-16,
-12,-17,-5,15,-3,-11,-13,-23,-37,-33,-25,-16,
-12,-16,-4,14,-4,-10,-13,-23,-37,-33,-25,-15,
-10,-15,-5,13,-2,-10,-12,-24,-36,-34,-25,-15,
-8,-14,-6,11,-1,-10,-11,-24,-35,-34,-26,-15,
-7,-12,-5,10,-1,-8,-11,-23,-35,-33,-25,-14,
-10,-15,-5,13,-2,-10,-11,-25,-36,-34,-26,-15,
-12,-18,-6,15,-3,-12,-11,-24,-37,-35,-26,-16,
-11,-19,-8,15,-1,-13,-10,-24,-36,-34,-25,-14,
-10,-18,-8,14,-1,-13,-9,-23,-35,-33,-24,-13,
-10,-18,-8,14,-1,-13,-9,-23,-34,-33,-24,-13,
-10,-19,-9,15,0,-14,-9,-23,-34,-33,-24,-13,
-12,-20,-8,16,-2,-14,-9,-23,-34,-33,-24,-15,
-12,-21,-9,17,-1,-15,-9,-23,-34,-33,-24,-14,
-13,-21,-8,17,-2,-14,-8,-22,-34,-33,-25,-13,
-16,-23,-7,20,-4,-15,-8,-21,-34,-33,-25,-15,
-16,-23,-7,20,-4,-15,-6,-20,-34,-34,-27,-15,
-16,-21,-5,19,-5,-13,-3,-17,-33,-35,-29,-16,
-18,-21,-3,20,-7,-12,0,-12,-33,-36,-32,-20,
-19,-22,-3,21,-8,-12,7,-5,-32,-37,-38,-25,
-24,-23,1,24,-12,-11,19,6,-31,-41,-49,-32,
-31,-25,6,28,-18,-9,35,21,-28,-47,-63,-41,
-39,-25,14,32,-26,-5,51,37,-24,-50,-76,-51,
-44,-26,18,35,-31,-4,64,51,-19,-53,-84,-56,
-45,-23,22,34,-33,0,74,65,-11,-50,-87,-58,
-45,-22,23,34,-34,1,82,80,1,-43,-85,-57,
-43,-21,22,32,-32,1,90,101,23,-32,-79,-56,
-35,-19,16,27,-25,-1,98,127,52,-9,-64,-51,
-20,-10,10,15,-15,0,102,153,89,25,-35,-34,
-1,5,6,-2,-3,6,102,163,117,64,4,-9,
21,25,4,-23,9,15,94,155,134,104,53,23,
46,51,5,-48,21,28,80,137,147,149,114,65,
73,81,8,-77,33,45,60,107,159,200,184,113,
98,109,11,-103,44,60,32,70,172,252,255,159,
120,133,13,-126,54,73,-2,27,183,304,327,205,
138,150,12,-144,63,81,-38,-17,193,348,389,245,
146,156,10,-151,68,83,-71,-59,201,383,437,273,
150,144,-6,-147,78,69,-103,-106,188,388,457,282,
152,117,-35,-134,94,41,-128,-151,151,349,439,272,
147,84,-63,-115,105,11,-139,-181,106,284,382,241,
134,57,-77,-95,106,-10,-140,-203,50,200,299,199,
112,35,-77,-73,95,-21,-137,-231,-36,91,200,155,
84,16,-68,-50,76,-26,-138,-272,-154,-44,92,109,
59,-1,-60,-29,60,-30,-147,-310,-255,-158,1,67,
40,-17,-57,-11,49,-37,-151,-330,-306,-218,-59,31,
