‡T,‡U,‡V,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-3,-11,-8,7,3,-9,0,-10,-10,-1,-4,-6,
-4,-13,-9,9,3,-11,1,-10,-9,-1,-5,-7,
-6,-14,-8,10,1,-11,1,-11,-9,-2,-5,-7,
-9,-19,-10,14,1,-14,1,-11,-9,-3,-5,-7,
-10,-21,-11,16,1,-16,1,-13,-9,-4,-8,-10,
-11,-22,-11,17,0,-16,1,-15,-13,-7,-11,-12,
-14,-24,-10,19,-2,-17,2,-16,-15,-9,-12,-12,
-16,-24,-8,20,-4,-16,2,-16,-15,-8,-13,-11,
-18,-22,-4,20,-7,-13,3,-16,-15,-8,-13,-14,
-16,-19,-3,18,-6,-11,4,-14,-15,-7,-13,-14,
-11,-17,-6,14,-2,-11,4,-14,-17,-8,-13,-14,
-11,-17,-6,14,-2,-11,4,-15,-18,-9,-12,-14,
-15,-19,-4,17,-5,-11,4,-14,-17,-9,-10,-12,
-16,-22,-6,19,-5,-14,4,-14,-16,-8,-9,-12,
-14,-23,-9,19,-2,-16,3,-15,-16,-8,-11,-14,
-10,-20,-10,15,0,-15,2,-15,-17,-8,-12,-15,
-11,-20,-9,16,-1,-14,2,-14,-15,-6,-10,-13,
-15,-19,-4,17,-5,-11,3,-12,-14,-5,-9,-11,
-18,-21,-3,20,-7,-12,4,-12,-14,-6,-9,-12,
-18,-24,-6,21,-6,-15,3,-12,-16,-8,-10,-13,
-18,-25,-7,22,-5,-16,3,-13,-17,-9,-12,-14,
-17,-27,-10,22,-3,-18,3,-11,-15,-8,-11,-15,
-15,-26,-11,21,-2,-18,6,-5,-12,-8,-13,-16,
-14,-27,-13,21,0,-20,10,2,-10,-7,-16,-18,
-14,-30,-16,22,1,-23,15,12,-6,-6,-16,-20,
-11,-30,-19,21,4,-24,20,24,0,-4,-16,-23,
-8,-30,-22,19,7,-26,29,42,11,2,-11,-19,
-7,-31,-24,19,9,-27,39,60,27,13,-5,-15,
-1,-27,-26,14,13,-26,48,77,47,26,0,-12,
8,-22,-30,7,19,-26,55,90,68,43,8,-8,
15,-17,-32,1,24,-24,60,102,94,65,21,0,
20,-10,-30,-5,25,-20,62,111,118,89,38,10,
30,2,-28,-16,29,-13,57,112,140,114,57,26,
45,18,-27,-31,36,-4,39,102,156,138,79,43,
59,35,-24,-47,42,6,17,87,170,163,106,65,
72,56,-16,-64,44,20,-9,68,186,191,135,87,
89,81,-8,-85,49,37,-46,40,200,220,165,111,
111,109,-2,-110,57,54,-88,4,215,252,197,138,
130,134,4,-132,63,69,-132,-38,225,280,226,163,
145,151,6,-148,70,79,-175,-82,225,299,250,183,
157,165,8,-161,75,87,-215,-125,220,312,269,202,
164,178,14,-171,75,96,-252,-170,209,317,285,220,
168,185,17,-176,76,101,-290,-213,192,317,297,232,
169,194,25,-181,72,110,-322,-252,172,315,306,246,
167,200,33,-183,67,117,-343,-282,148,309,309,252,
162,196,34,-179,64,115,-353,-303,118,291,303,250,
153,186,33,-169,60,110,-350,-313,88,264,290,242,
136,176,40,-156,48,108,-330,-303,65,230,266,225,
113,154,41,-133,36,98,-296,-276,43,178,221,193,
89,125,36,-107,27,81,-260,-250,15,116,166,154,
65,91,26,-78,20,59,-224,-226,-14,60,113,116,
43,62,19,-52,12,41,-189,-201,-31,22,74,85,
28,43,15,-35,7,29,-155,-171,-38,3,46,63,
17,27,10,-22,4,19,-124,-141,-42,-7,28,42,
12,17,5,-14,4,11,-93,-112,-44,-10,16,28,
13,14,1,-13,6,8,-65,-83,-41,-9,10,17,
8,12,4,-10,2,8,-43,-60,-38,-6,8,13,
2,6,4,-4,-1,5,-25,-44,-34,-5,6,9,
-2,0,2,1,-2,1,-15,-33,-29,-5,2,3,
-3,-2,1,3,-2,0,-8,-25,-21,-5,0,0,
-1,-5,-4,3,2,-4,-6,-21,-13,-4,-3,-3,
-3,-7,-4,5,1,-5,-5,-18,-5,-4,-7,-6,
-9,-9,0,9,-4,-4,-3,-15,0,-4,-11,-8,
-12,-14,-2,13,-5,-8,0,-9,2,-3,-14,-11,
-14,-17,-3,16,-5,-10,5,-3,0,-3,-15,-12,
-15,-16,-1,16,-7,-8,10,2,-2,-3,-14,-12,
-12,-14,-2,13,-5,-8,14,4,-5,-3,-14,-12,
-9,-11,-2,10,-3,-6,15,5,-8,-4,-14,-13,
-11,-12,-1,12,-5,-6,15,4,-7,-5,-13,-12,
-13,-15,-2,14,-5,-8,16,3,-7,-6,-12,-12,
-18,-16,2,17,-10,-7,16,3,-7,-7,-13,-13,
-19,-15,4,17,-11,-5,15,3,-7,-8,-15,-15,
-19,-16,3,18,-11,-6,15,3,-7,-8,-14,-15,
-19,-19,0,19,-9,-9,17,6,-7,-7,-14,-14,
-21,-18,3,20,-12,-7,18,8,-7,-6,-14,-14,
-17,-15,2,16,-9,-6,19,8,-7,-7,-15,-15,
-9,-14,-5,12,-2,-9,19,8,-8,-8,-16,-17,
-8,-16,-8,12,0,-12,20,9,-8,-7,-17,-17,
-13,-18,-5,16,-4,-11,21,11,-7,-7,-18,-18,
-18,-18,0,18,-9,-9,22,10,-8,-8,-18,-19,
-20,-18,2,19,-11,-8,22,10,-8,-9,-18,-18,
-17,-18,-1,18,-8,-9,23,10,-10,-11,-19,-19,
-15,-17,-2,16,-6,-9,24,10,-9,-10,-19,-19,
-16,-17,-1,17,-7,-9,25,11,-9,-10,-18,-18,
-18,-18,0,18,-9,-9,25,10,-8,-10,-19,-20,
-22,-20,2,21,-12,-9,24,10,-9,-10,-21,-21,
-22,-20,2,21,-12,-9,24,10,-8,-11,-20,-19,
-20,-21,-1,21,-9,-11,25,12,-6,-9,-20,-18,
-19,-21,-2,20,-8,-11,26,13,-6,-10,-20,-19,
-16,-20,-4,18,-6,-12,24,13,-7,-11,-21,-19,
-14,-17,-3,16,-5,-10,24,12,-7,-12,-21,-21,
-18,-18,0,18,-9,-9,25,14,-6,-11,-21,-23,
-25,-19,6,22,-15,-6,27,15,-5,-10,-19,-22,
-25,-19,6,22,-15,-6,25,16,-5,-10,-19,-19,
-21,-19,2,20,-11,-8,24,15,-7,-13,-21,-20,
-14,-16,-2,15,-6,-9,23,15,-6,-15,-22,-22,
-11,-14,-3,13,-4,-8,24,16,-7,-14,-22,-22,
-11,-16,-5,14,-3,-10,25,17,-6,-13,-22,-23,
-12,-18,-6,15,-3,-12,26,18,-6,-11,-21,-22,
-15,-19,-4,17,-5,-11,27,18,-5,-11,-21,-21,
-17,-18,-1,18,-8,-9,26,18,-5,-10,-21,-21,
-12,-16,-4,14,-4,-10,26,18,-5,-10,-21,-21,
-10,-17,-7,14,-1,-12,26,19,-5,-10,-20,-20,
-15,-19,-4,17,-5,-11,27,20,-4,-9,-19,-18,
-20,-21,-1,21,-9,-11,28,21,-3,-8,-19,-17,
-24,-21,3,23,-13,-9,28,22,-2,-8,-18,-15,
-24,-21,3,23,-13,-9,28,21,-2,-8,-19,-16,
-26,-23,3,25,-14,-10,27,21,-3,-8,-21,-18,
-22,-21,1,22,-11,-10,27,21,-1,-8,-21,-18,
-19,-17,2,18,-10,-7,27,21,-2,-8,-20,-17,
-19,-15,4,17,-11,-5,26,21,-1,-8,-19,-16,
-18,-13,5,16,-11,-4,26,22,-1,-9,-19,-15,
-14,-12,2,13,-8,-5,27,22,0,-10,-20,-17,
-8,-10,-2,9,-3,-6,27,23,-1,-9,-20,-18,
-3,-11,-8,7,3,-9,27,23,0,-10,-20,-18,
-4,-13,-9,9,3,-11,27,24,0,-10,-19,-18,
-10,-12,-2,11,-4,-7,30,27,2,-9,-18,-18,
-10,-14,-4,12,-3,-9,30,27,2,-9,-21,-20,
-10,-12,-2,11,-4,-7,30,28,2,-9,-22,-21,
-11,-12,-1,12,-5,-6,31,29,3,-8,-21,-21,
-11,-11,0,11,-5,-5,32,29,3,-8,-20,-19,
-13,-13,0,13,-6,-6,32,30,3,-7,-19,-18,
-11,-15,-4,13,-3,-9,30,30,4,-7,-19,-19,
-9,-14,-5,12,-2,-9,30,31,4,-7,-20,-19,
-13,-15,-2,14,-5,-8,33,33,6,-7,-17,-17,
-15,-16,-1,16,-7,-8,33,33,4,-8,-18,-21,
-13,-17,-4,15,-4,-10,33,34,5,-10,-20,-25,
-13,-17,-4,15,-4,-10,34,36,7,-7,-17,-24,
-14,-20,-6,17,-4,-13,32,35,6,-7,-17,-22,
-13,-19,-6,16,-3,-12,32,35,6,-8,-20,-22,
-13,-20,-7,17,-3,-13,33,36,8,-6,-20,-21,
-13,-21,-8,17,-2,-14,34,37,9,-6,-21,-21,
-12,-20,-8,16,-2,-14,35,38,9,-6,-19,-20,
-10,-16,-6,13,-2,-11,34,40,11,-4,-17,-18,
-9,-14,-5,12,-2,-9,34,41,11,-4,-17,-17,
-12,-13,-1,13,-5,-7,35,42,11,-5,-17,-17,
-11,-8,3,10,-7,-2,35,44,11,-4,-17,-17,
-7,-7,0,7,-3,-3,38,46,15,-2,-15,-14,
-4,-9,-5,7,1,-7,40,48,19,1,-13,-12,
-4,-11,-7,8,2,-9,41,50,21,2,-14,-12,
-4,-9,-5,7,1,-7,40,51,20,1,-15,-13,
-4,-10,-6,7,1,-8,39,51,20,1,-16,-14,
-6,-10,-4,8,-1,-7,39,53,20,2,-15,-15,
-7,-12,-5,10,-1,-8,40,55,22,4,-15,-16,
-3,-13,-10,8,4,-11,39,55,21,4,-17,-17,
-5,-13,-8,9,2,-10,41,58,24,5,-16,-17,
-8,-15,-7,12,0,-11,42,60,26,6,-15,-16,
-9,-14,-5,12,-2,-9,43,60,27,4,-14,-16,
-6,-10,-4,8,-1,-7,45,62,29,6,-13,-16,
-8,-10,-2,9,-3,-6,48,66,32,9,-9,-13,
-8,-12,-4,10,-2,-8,48,68,32,7,-8,-14,
-4,-12,-8,8,2,-10,48,70,32,6,-9,-15,
-3,-13,-10,8,4,-11,48,72,34,7,-8,-14,
-3,-11,-8,7,3,-9,50,76,37,10,-7,-12,
-4,-14,-10,9,3,-12,49,79,38,11,-6,-12,
-3,-13,-10,8,4,-11,49,80,41,12,-6,-11,
0,-9,-9,5,5,-9,49,81,42,12,-7,-12,
2,-8,-10,3,6,-9,49,81,43,12,-5,-10,
2,-8,-10,3,6,-9,49,84,46,14,-5,-9,
3,-7,-10,2,7,-8,50,86,48,15,-5,-8,
3,-5,-8,1,6,-6,51,88,50,16,-5,-9,
1,-4,-5,2,3,-4,51,89,50,16,-6,-9,
2,-4,-6,1,4,-5,52,92,54,17,-5,-8,
5,-3,-8,-1,7,-5,54,96,58,21,-3,-7,
6,0,-6,-3,6,-3,55,98,61,22,-3,-7,
6,2,-4,-4,5,-1,54,100,62,23,-3,-6,
6,4,-2,-5,4,1,54,102,63,25,0,-3,
8,3,-5,-5,7,-1,52,103,64,27,1,-2,
10,1,-9,-5,10,-4,51,105,66,27,1,-5,
11,0,-11,-5,11,-5,52,106,66,27,1,-3,
13,3,-10,-8,12,-3,52,106,67,28,2,-2,
10,2,-8,-6,9,-3,52,106,69,31,4,-1,
6,2,-4,-4,5,-1,50,107,69,32,5,-2,
6,0,-6,-3,6,-3,49,108,72,34,5,-3,
8,0,-8,-4,8,-4,48,110,75,34,6,-1,
8,3,-5,-5,7,-1,47,110,78,34,7,0,
9,2,-7,-5,8,-2,47,112,81,36,8,1,
10,5,-5,-7,8,0,47,115,84,38,12,4,
10,5,-5,-7,8,0,48,116,85,41,13,7,
11,5,-6,-8,9,0,47,116,85,42,12,6,
15,7,-8,-11,12,0,46,116,85,42,10,5,
16,11,-5,-13,11,3,46,116,86,44,12,6,
17,12,-5,-14,11,4,46,117,89,45,16,8,
18,11,-7,-14,13,2,46,118,90,47,18,9,
17,8,-9,-12,13,0,44,116,88,46,16,7,
17,9,-8,-13,13,1,43,114,88,46,16,6,
13,10,-3,-11,8,4,43,114,89,48,17,6,
11,11,0,-11,6,6,43,114,91,49,20,8,
14,12,-2,-13,8,5,41,111,90,48,20,6,
13,11,-2,-12,8,5,38,108,89,48,20,6,
14,11,-3,-12,9,4,38,105,89,50,22,8,
14,11,-3,-12,9,4,37,103,89,52,24,9,
13,12,-1,-12,7,6,36,100,87,52,24,10,
13,14,1,-13,6,8,34,95,85,51,22,9,
15,12,-3,-13,9,5,33,91,83,50,22,10,
13,13,0,-13,7,7,33,87,81,50,23,14,
12,17,5,-14,4,11,31,82,76,48,23,14,
14,16,2,-15,6,9,29,76,72,48,21,12,
14,13,-1,-13,8,6,28,72,67,46,19,10,
8,12,4,-10,2,8,27,69,62,45,19,11,
7,13,6,-10,1,10,26,65,59,43,17,8,
7,11,4,-9,2,8,26,62,57,41,16,8,
7,11,4,-9,2,8,25,58,55,39,14,7,
6,10,4,-8,1,7,24,53,51,35,11,7,
5,7,2,-6,2,5,23,47,46,32,9,8,
4,6,2,-5,1,4,22,43,42,30,10,7,
6,9,3,-7,2,6,22,40,39,30,11,8,
6,11,5,-8,1,8,22,37,36,28,11,8,
6,8,2,-7,2,5,21,35,33,26,10,6,
6,4,-2,-5,4,1,21,30,30,23,8,4,
6,4,-2,-5,4,1,19,26,25,19,6,4,
6,6,0,-6,3,3,19,23,21,17,5,3,
6,6,0,-6,3,3,19,20,19,14,3,1,
6,5,-1,-5,4,2,18,16,14,11,1,0,
5,5,0,-5,3,3,17,13,12,9,0,-3,
0,4,4,-2,-2,4,15,11,10,7,-2,-5,
-6,0,6,3,-6,3,15,9,7,4,-5,-6,
-4,-1,3,3,-3,1,14,7,5,4,-6,-6,
-2,0,2,1,-2,1,14,5,3,4,-6,-6,
-4,1,5,2,-4,3,14,4,3,4,-6,-7,
-5,1,6,2,-5,4,14,3,4,3,-7,-8,
-4,0,4,2,-4,2,14,3,4,2,-7,-7,
-1,0,1,1,-1,1,15,3,4,2,-4,-5,
1,2,1,-1,0,2,13,1,1,1,-4,-5,
1,-1,-2,0,2,-1,12,-1,0,-1,-5,-5,
-2,-4,-2,3,0,-3,12,-1,-1,-2,-6,-7,
-7,-3,4,5,-5,1,14,-2,-2,-2,-5,-7,
-9,-6,3,8,-6,-1,13,-2,-3,-2,-5,-6,
-9,-6,3,8,-6,-1,12,-4,-4,-4,-6,-6,
-9,-6,3,8,-6,-1,12,-5,-4,-4,-9,-7,
-6,-6,0,6,-3,-3,12,-6,-5,-5,-11,-8,
-4,-5,-1,5,-1,-3,12,-5,-5,-4,-10,-7,
-8,-6,2,7,-5,-2,12,-5,-5,-3,-9,-7,
-8,-6,2,7,-5,-2,12,-6,-6,-5,-9,-9,
-8,-5,3,7,-5,-1,12,-6,-6,-6,-10,-10,
-8,-6,2,7,-5,-2,11,-7,-7,-6,-11,-12,
-5,-5,0,5,-2,-2,11,-8,-7,-7,-10,-13,
-1,-6,-5,4,2,-5,10,-8,-8,-7,-10,-13,
0,-9,-9,5,5,-9,10,-7,-8,-8,-9,-12,
-3,-8,-5,6,1,-6,11,-8,-8,-7,-8,-11,
-8,-8,0,8,-4,-4,11,-9,-8,-7,-8,-11,
-13,-12,1,13,-7,-5,12,-8,-8,-7,-9,-13,
-13,-11,2,12,-7,-4,11,-8,-8,-8,-8,-13,
-7,-7,0,7,-3,-3,11,-9,-9,-8,-7,-12,
-3,-7,-4,5,1,-5,11,-8,-8,-7,-6,-11,
-5,-6,-1,6,-2,-3,11,-7,-7,-6,-5,-10,
-2,-4,-2,3,0,-3,8,-7,-9,-5,-6,-10,
1,-2,-3,1,2,-2,8,-8,-10,-6,-8,-11,
0,0,0,0,0,0,9,-9,-9,-6,-6,-9,
-2,1,3,1,-2,2,9,-9,-9,-6,-6,-9,
-3,-1,2,2,-2,1,9,-10,-10,-6,-6,-12,
0,1,1,0,0,1,10,-9,-9,-6,-6,-11,
-2,1,3,1,-2,2,12,-7,-7,-4,-6,-9,
-4,1,5,2,-4,3,12,-8,-7,-4,-8,-9,
-6,0,6,3,-6,3,12,-6,-6,-4,-8,-9,
-7,-1,6,4,-6,3,12,-6,-6,-5,-9,-10,
-5,1,6,2,-5,4,12,-5,-5,-6,-8,-10,
-6,1,7,3,-6,4,14,-4,-4,-4,-7,-8,
-1,0,1,1,-1,1,13,-4,-4,-5,-7,-9,
4,0,-4,-2,4,-2,11,-6,-6,-5,-8,-10,
6,-3,-9,-1,8,-6,12,-6,-7,-5,-8,-9,
6,0,-6,-3,6,-3,12,-5,-7,-4,-7,-9,
4,2,-2,-3,3,0,13,-5,-7,-5,-7,-11,
1,1,0,-1,1,1,13,-4,-6,-5,-6,-12,
-1,-1,0,1,0,0,14,-4,-5,-5,-6,-10,
-2,-2,0,2,-1,-1,12,-5,-6,-7,-9,-11,
-2,-2,0,2,-1,-1,12,-5,-6,-7,-10,-12,
-1,-2,-1,2,0,-1,12,-5,-5,-8,-10,-14,
-2,-2,0,2,-1,-1,12,-6,-6,-8,-11,-14,
-4,-3,1,4,-2,-1,12,-5,-7,-7,-12,-15,
-5,-3,2,4,-3,0,14,-3,-6,-6,-9,-13,
-6,-3,3,5,-4,0,14,-2,-4,-4,-8,-12,
-4,-1,3,3,-3,1,14,-2,-4,-2,-9,-13,
-2,3,5,0,-3,4,15,-2,-4,-1,-8,-12,
-5,6,11,0,-8,9,15,-3,-3,0,-7,-12,
-9,4,13,3,-11,9,13,-4,-6,-3,-8,-11,
-9,-3,6,6,-7,2,13,-4,-6,-5,-8,-11,
-4,-7,-3,6,0,-5,14,-3,-5,-4,-7,-10,
-2,-5,-3,4,1,-4,15,-2,-5,-5,-6,-10,
-3,-2,1,3,-2,0,16,-1,-3,-4,-5,-7,
-5,-3,2,4,-3,0,16,0,-3,-3,-5,-6,
-4,-3,1,4,-2,-1,16,0,-3,-4,-6,-6,
-4,-3,1,4,-2,-1,16,0,-3,-4,-7,-8,
-4,-3,1,4,-2,-1,16,1,-3,-3,-6,-8,
-3,-2,1,3,-2,0,16,0,-3,-3,-7,-8,
-2,0,2,1,-2,1,15,0,-3,-2,-7,-9,
0,4,4,-2,-2,4,15,0,-3,-2,-10,-11,
0,6,6,-3,-3,6,14,0,-3,-3,-10,-12,
-3,2,5,1,-4,4,15,2,-3,-2,-8,-10,
-6,0,6,3,-6,3,16,2,-3,-2,-7,-10,
-5,0,5,3,-5,3,16,2,-3,-2,-8,-11,
-2,4,6,-1,-4,5,17,2,-3,-2,-8,-9,
0,5,5,-2,-2,5,16,1,-4,-4,-9,-9,
0,0,0,0,0,0,15,1,-4,-4,-10,-9,
-1,-4,-3,3,1,-3,15,2,-4,-4,-11,-9,
-3,-4,-1,4,-1,-2,17,3,-3,-3,-10,-9,
-7,-2,5,5,-6,2,18,3,-2,-2,-10,-10,
-6,1,7,3,-6,4,19,4,-2,-2,-9,-10,
-5,6,11,0,-8,9,20,4,-2,-3,-9,-10,
-6,6,12,0,-9,9,19,4,-2,-3,-9,-10,
-5,5,10,0,-7,8,18,4,-2,-2,-10,-9,
-2,4,6,-1,-4,5,17,3,-3,-2,-10,-9,
0,4,4,-2,-2,4,17,2,-4,-3,-10,-10,
-2,5,7,-1,-4,6,17,2,-3,-3,-10,-9,
-3,3,6,0,-4,5,18,3,-2,-1,-6,-6,
-3,3,6,0,-4,5,17,1,-3,0,-5,-6,
-1,5,6,-2,-3,6,16,0,-5,-1,-5,-6,
-2,2,4,0,-3,3,18,2,-3,-1,-4,-6,
-2,2,4,0,-3,3,18,3,-3,-2,-6,-8,
-1,6,7,-2,-4,7,17,3,-4,-1,-7,-7,
-1,5,6,-2,-3,6,17,3,-3,-1,-6,-6,
-1,5,6,-2,-3,6,18,3,-3,-2,-7,-5,
-4,3,7,1,-5,5,18,3,-4,-3,-9,-6,
-7,2,9,3,-8,6,18,3,-3,-2,-8,-7,
-5,4,9,1,-7,7,16,1,-3,-3,-9,-7,
-5,5,10,0,-7,8,15,0,-5,-4,-10,-7,
-6,3,9,2,-7,6,15,-1,-5,-4,-13,-10,
-6,0,6,3,-6,3,14,-2,-7,-3,-12,-11,
-4,0,4,2,-4,2,13,-2,-6,-3,-11,-10,
-5,1,6,2,-5,4,12,-3,-7,-4,-11,-10,
-7,6,13,1,-10,10,12,-3,-9,-4,-11,-11,
-3,7,10,-2,-6,9,13,-3,-9,-5,-10,-11,
1,6,5,-3,-2,6,11,-5,-9,-5,-11,-12,
0,5,5,-2,-2,5,11,-6,-9,-6,-13,-13,
-1,5,6,-2,-3,6,13,-5,-7,-5,-14,-11,
1,6,5,-3,-2,6,13,-4,-6,-4,-14,-10,
